 Reachable states from S11 [0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0] 
 T3 => S12 [0, 0, 0, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0] 
 T6 => S26 [0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1] 
 Reachable states from S12 [0, 0, 0, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0] 
 T6 => S13 [0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1] 
 Reachable states from S13 [0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1] 
 T5 => S14 [0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0] 
 T13 => S42 [0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0] 
 T7 => S1377 [1, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1] 
 Reachable states from S14 [0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0] 
 T4 => S15 [0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0] 
 T6 => S22 [0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 1] 
 T7 => S1378 [1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0] 
 Reachable states from S15 [0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0] 
 T6 => S16 [0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1] 
 T7 => S1379 [1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0] 
 Reachable states from S16 [0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1] 
 T5 => S17 [0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0] 
 T13 => S1006 [0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 0] 
 T7 => S1380 [1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1] 
 Reachable states from S17 [0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0] 
 T6 => S18 [0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1] 
 T7 => S1372 [1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0] 
 Reachable states from S18 [0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1] 
 T7 => S19 [1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1] 
 T13 => S1052 [0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 0] 
 Reachable states from S19 [1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1] 
 T1 => S20 [0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1] 
 T13 => S1046 [1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0] 
 T7 => S1370 [2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1] 
 Reachable states from S20 [0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1] 
 T2 => S21 [0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 1] 
 T7 => S35 [1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1] 
 T13 => S1045 [0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 0] 
 Reachable states from S21 [0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 1] 
 T3 => S22 [0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 1] 
 T7 => S36 [1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1] 
 T13 => S1044 [0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 0] 
 Reachable states from S22 [0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 1] 
 T4 => S16 [0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1] 
 T7 => S23 [1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1] 
 T13 => S1043 [0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0] 
 Reachable states from S23 [1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1] 
 T1 => S24 [0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1] 
 T13 => S1032 [1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0] 
 T4 => S1380 [1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1] 
 T7 => S1382 [2, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1] 
 Reachable states from S24 [0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1] 
 T7 => S4 [1, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1] 
 T2 => S25 [0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1] 
 T4 => S32 [0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1] 
 T13 => S39 [0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0] 
 Reachable states from S25 [0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1] 
 T7 => S5 [1, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1] 
 T4 => S26 [0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1] 
 T13 => S40 [0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0] 
 Reachable states from S26 [0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1] 
 T3 => S13 [0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1] 
 T5 => S27 [0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0] 
 T13 => S41 [0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0] 
 T7 => S1376 [1, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1] 
 Reachable states from S27 [0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0] 
 T3 => S14 [0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0] 
 T6 => S21 [0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 1] 
 T7 => S28 [1, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0] 
 Reachable states from S28 [1, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0] 
 T1 => S29 [0, 1, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
 T6 => S36 [1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1] 
 T3 => S1378 [1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0] 
 Reachable states from S29 [0, 1, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
 T3 => S30 [0, 1, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0] 
 T6 => S37 [0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1] 
 Reachable states from S30 [0, 1, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0] 
 T2 => S10 [0, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0] 
 T6 => S24 [0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1] 
 T4 => S31 [0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0] 
 Reachable states from S31 [0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0] 
 T2 => S11 [0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0] 
 T6 => S32 [0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1] 
 Reachable states from S32 [0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1] 
 T2 => S26 [0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1] 
 T5 => S33 [0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0] 
